REF_DATE,GEO,DGUID,Type of currency,UOM,UOM_ID,SCALAR_FACTOR,SCALAR_ID,VECTOR,COORDINATE,VALUE,STATUS,SYMBOL,TERMINATED,DECIMALS
5/1/2023,Canada,2016A000011124,"Russian ruble, daily average",Dollars,81,units,0,v111666237,1.14,0.01708,,,,5
5/2/2023,Canada,2016A000011124,"Russian ruble, daily average",Dollars,81,units,0,v111666237,1.14,0.01702,,,,5
5/3/2023,Canada,2016A000011124,"Russian ruble, daily average",Dollars,81,units,0,v111666237,1.14,0.01719,,,,5
5/4/2023,Canada,2016A000011124,"Russian ruble, daily average",Dollars,81,units,0,v111666237,1.14,0.01734,,,,5
5/5/2023,Canada,2016A000011124,"Russian ruble, daily average",Dollars,81,units,0,v111666237,1.14,0.01744,,,,5
5/6/2023,Canada,2016A000011124,"Russian ruble, daily average",Dollars,81,units,0,v111666237,1.14,,..,,,5
5/7/2023,Canada,2016A000011124,"Russian ruble, daily average",Dollars,81,units,0,v111666237,1.14,,..,,,5
5/8/2023,Canada,2016A000011124,"Russian ruble, daily average",Dollars,81,units,0,v111666237,1.14,0.01716,,,,5
5/9/2023,Canada,2016A000011124,"Russian ruble, daily average",Dollars,81,units,0,v111666237,1.14,0.01723,,,,5
5/10/2023,Canada,2016A000011124,"Russian ruble, daily average",Dollars,81,units,0,v111666237,1.14,0.01759,,,,5
5/11/2023,Canada,2016A000011124,"Russian ruble, daily average",Dollars,81,units,0,v111666237,1.14,0.01751,,,,5
5/12/2023,Canada,2016A000011124,"Russian ruble, daily average",Dollars,81,units,0,v111666237,1.14,0.01745,,,,5
5/13/2023,Canada,2016A000011124,"Russian ruble, daily average",Dollars,81,units,0,v111666237,1.14,,..,,,5
5/14/2023,Canada,2016A000011124,"Russian ruble, daily average",Dollars,81,units,0,v111666237,1.14,,..,,,5
5/15/2023,Canada,2016A000011124,"Russian ruble, daily average",Dollars,81,units,0,v111666237,1.14,0.01694,,,,5
5/16/2023,Canada,2016A000011124,"Russian ruble, daily average",Dollars,81,units,0,v111666237,1.14,0.0167,,,,5
5/1/2023,Canada,2016A000011124,"Saudi riyal, daily average",Dollars,81,units,0,v111666238,1.15,0.3612,,,,4
5/2/2023,Canada,2016A000011124,"Saudi riyal, daily average",Dollars,81,units,0,v111666238,1.15,0.3631,,,,4
5/3/2023,Canada,2016A000011124,"Saudi riyal, daily average",Dollars,81,units,0,v111666238,1.15,0.3631,,,,4
5/4/2023,Canada,2016A000011124,"Saudi riyal, daily average",Dollars,81,units,0,v111666238,1.15,0.3617,,,,4
5/5/2023,Canada,2016A000011124,"Saudi riyal, daily average",Dollars,81,units,0,v111666238,1.15,0.358,,,,4
5/6/2023,Canada,2016A000011124,"Saudi riyal, daily average",Dollars,81,units,0,v111666238,1.15,,..,,,4
5/7/2023,Canada,2016A000011124,"Saudi riyal, daily average",Dollars,81,units,0,v111666238,1.15,,..,,,4
5/8/2023,Canada,2016A000011124,"Saudi riyal, daily average",Dollars,81,units,0,v111666238,1.15,0.3561,,,,4
5/9/2023,Canada,2016A000011124,"Saudi riyal, daily average",Dollars,81,units,0,v111666238,1.15,0.3571,,,,4
5/10/2023,Canada,2016A000011124,"Saudi riyal, daily average",Dollars,81,units,0,v111666238,1.15,0.3567,,,,4
5/11/2023,Canada,2016A000011124,"Saudi riyal, daily average",Dollars,81,units,0,v111666238,1.15,0.3594,,,,4
5/12/2023,Canada,2016A000011124,"Saudi riyal, daily average",Dollars,81,units,0,v111666238,1.15,0.3609,,,,4
5/13/2023,Canada,2016A000011124,"Saudi riyal, daily average",Dollars,81,units,0,v111666238,1.15,,..,,,4
5/14/2023,Canada,2016A000011124,"Saudi riyal, daily average",Dollars,81,units,0,v111666238,1.15,,..,,,4
5/15/2023,Canada,2016A000011124,"Saudi riyal, daily average",Dollars,81,units,0,v111666238,1.15,0.3596,,,,4
5/16/2023,Canada,2016A000011124,"Saudi riyal, daily average",Dollars,81,units,0,v111666238,1.15,0.3588,,,,4
5/1/2023,Canada,2016A000011124,"Singapore dollar, daily average",Dollars,81,units,0,v111666239,1.16,1.0147,,,,4
5/2/2023,Canada,2016A000011124,"Singapore dollar, daily average",Dollars,81,units,0,v111666239,1.16,1.0197,,,,4
